keys,en,pt,he,cmn
TITLE,CMPM 121 Final Project,Projeto Final CMPM 121,מִשְׂחַק גָּמַר CMPM 121,CMPM 121 最终项目
CONTINUE,Continue?,Continuar?,לְהַמשִׁיך?,继续？
START,Start Game,Iniciar jogo,לְהַתְחִיל מִשְׂחָק,开始游戏
TUTORIAL,Tutorial,Tutorial,הַדְרָכָה,教程
TUT_TITLE,Gameplay Tutorial,Tutorial de jogabilidade,הַדְרָכָה לַמְּשַׂחֲקִים,游戏教程
TUT_TEXT,"- Press the blank arrow keys to move
- Press the shovel button to harvest
- Press the plant button to plant a plant
- The brown boxes represent the number of seeds in your inventory. 
Tap on one to select the plant you'd like to plant.
- Press the arrow pointing right to increment water level as well as randomize sun level
- Press the circle arrow facing left to undo action.
- Press the circle arrow pointing right to redo an action.
- Each plant has different requirements for growth, experiment to work out how. 
- Remember that you can undo planted plants if they don't grow.
- Win condition = Harvest 3 plants of each type.
- Enjoy :3","- Pressione as teclas de seta em branco para mover
- Pressione o botão de pá para coletar
- Pressione o botão de planta para plantar uma planta
- As caixas marrons representam o número de sementes em seu inventário. 
Toque em uma para selecionar a planta que você gostaria de plantar.
- Pressione a seta apontando para a direita para aumentar o nível de água e mudar o nível do sol
- Pressione a seta circular apontando para a esquerda para desfazer a ação.
- Pressione a seta circular apontando para a direita para refazer uma ação.
- Cada planta tem diferentes requisitos para o crescimento, experimente para descobrir como elas crescem. 
- Lembre-se que você pode desfazer as plantas plantadas se elas não crescerem.
- Condição de vitória = Coleta 3 plantas de cada tipo.
- Divirta-se :3","- לְחַץ עַל מִקֹּשִׁי הַחִצִּים כְּדֵי לָזוּז
- לְחַץ עַל כַּפְתּוֹר הָאֵת כְּדֵי לִקְצֹר
- לְחַץ עַל כַּפְתּוֹר הַצֶּמַח כְּדֵי לִשְׁתֹּל
- הַקֻּפְסָאוֹת הַחוּמוֹת מְיַצְּגוֹת אֶת מִסְפָּר הַזְּרָעִים בַּמְּלַאי שֶׁלָּךְ 
הַקֵּשׁ עַל אַחֵד כְּדֵי לְבָחוּר זֶרַע
- לְחַץ עַל הַחֵץ הַמַּצְבִּיעַ יָמִינָה כְּדֵי לְהַגְדִּיל אֵת מְפַלֵּס הַמַּיִם וְכֵן לְהַגְדִּיר אֶת מִפְלָס הַשַּׁמָּשׁ בְּאֹפֶן אַקְרָאִי
- לְחַץ עַל חֵץ הָעִגּוּל הַפּוֹנֶה שֶׁמֵּאֵלָה כְּדֵי לְבַטֵּל אֶת הַפְּעֻלָּה
- לְחַץ עַל חֵץ הָעִגּוּל הַמַּצְבִּיעַ יָמִינָה כְּדֵי לְבַצֵּעַ פְּעֻלָּה מֵחָדָשׁ
- לְכָל צֶמַח יֵשׁ דְּרִישׁוֹת שׁוֹנוֹת לִצְמִיחָה, נִסּוּי כְּדֵי לְהָבִין אֵיךְ
- זְכֹר שֶׁאַתָּה יָכוֹל לְבַטֵּל צְמָחִים נְטוּעִים אִם הֵם לֹא גְּדֵלִים
- מַצַּב זְכִיָּה = קָצִיר 3 צְמָחִים מִכָּל סוּג
- תֵּהָנֶה 3:","- 按方向键移动
- 按铲子按钮收获
- 按植物按钮种植植物
- 棕色框代表库存中的种子数量。
点击一个即可选择您想要种植的植物。
- 按指向右侧的箭头增加水位并随机化日照水平
- 按指向左侧的圆形箭头撤消操作。
- 按指向右侧的圆形箭头重做操作。
- 每种植物的生长要求不同，请进行实验以找出方法。
- 请记住，如果种植的植物没有生长，您可以撤消它们。
- 获胜条件 = 收获每种类型的 3 种植物。
- 玩的开心 :3"
BACK,Back,Voltar,חָזוֹר,后退
VICTORY,"YOU WIN!!
ALT F4 NOW","VOCÊ GANHOU!!
ALT F4 AGORA","אַתָּה מְנַצֵּחַ!!
ALT F4 עַכְשָׁו","你赢了！！
现在按 ALT F4"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,, ,,